Designator,Mid X,Mid Y,Rotation,Layer
AE1,87.249,-32.639,90.0,top
BT1,59.327,-73.79,270.0,bottom
BT2,81.153,-81.1784,270.0,bottom
C1,76.4755,-42.926,0.0,top
C10,67.969,-55.0,180.0,top
C11,60.071,-64.0,270.0,top
C12,83.947,-64.643,270.0,top
C13,71.882,-68.0,0.0,top
C14,75.438,-68.0,180.0,top
C15,65.15,-69.5,0.0,top
C16,57.75,-70.25,270.0,top
C17,60.8,-71.25,180.0,top
C18,67.5055,-73.279,0.0,top
C19,65.495,-75.438,0.0,top
C2,77.597,-46.101,90.0,top
C20,69.432,-75.438,0.0,top
C21,83.566,-77.582,90.0,top
C22,87.122,-77.582,270.0,top
C23,73.242,-77.851,180.0,top
C24,62.066,-78.359,0.0,top
C25,58.801,-81.915,90.0,top
C26,60.796,-82.042,90.0,top
C27,82.423,-84.44,45.0,top
C28,81.28,-88.885,90.0,top
C29,67.4,-90.17,180.0,top
C3,75.9675,-49.53,0.0,top
C30,67.909,-107.224,180.0,top
C31,76.496,-107.224,180.0,top
C32,59.2328,-107.2388,180.0,top
C4,86.219949,-50.791,180.0,top
C5,72.25,-52.25,0.0,top
C6,86.219949,-52.696,180.0,top
C7,65.25,-53.0,90.0,top
C8,68.0,-53.25,180.0,top
C9,62.4,-54.5,270.0,top
D1,79.248,-51.181,270.0,top
D2,59.0,-56.25,270.0,top
D3,55.5,-77.725,90.0,top
D4,73.369,-90.297,180.0,top
FB1,85.344,-77.328,270.0,top
J1,55.245,-53.711,0.0,top
J10,66.385,-110.78,90.0,top
J11,75.006,-110.78,90.0,top
J12,57.7192,-110.7948,90.0,top
J13,81.026,-53.086,180.0,bottom
J14,70.448,-86.614,180.0,bottom
J15,70.443,-106.299,180.0,bottom
J2,55.245,-67.183,0.0,top
J3,85.466,-58.435,180.0,top
J4,77.978,-82.423,0.0,top
J5,92.651,-74.168,90.0,top
J6,55.245,-87.503,0.0,top
J7,92.075,-94.62,180.0,top
J8,92.075,-105.161,0.0,top
J9,86.741,-110.744,90.0,top
L1,90.424,-39.488,270.0,top
L2,59.907,-84.963,0.0,top
Q1,59.9948,-101.9048,270.0,top
Q2,68.737,-101.914,270.0,top
Q3,77.373,-101.914,270.0,top
Q4,64.861,-102.398,90.0,top
Q5,73.497,-102.398,90.0,top
Q6,56.134,-102.4128,90.0,top
R1,82.169,-52.959,180.0,top
R10,73.242,-75.819,180.0,top
R11,58.256,-77.0,0.0,top
R12,83.4,-81.407,180.0,top
R13,73.369,-88.392,0.0,top
R14,63.754,-89.154,270.0,top
R15,64.877,-96.556,180.0,top
R16,73.497,-96.556,180.0,top
R17,55.626,-96.5708,180.0,top
R18,68.671,-98.08,180.0,top
R19,77.307,-98.08,180.0,top
R2,72.25,-54.0,180.0,top
R20,59.944,-98.0948,180.0,top
R21,64.861,-98.588,0.0,top
R22,73.497,-98.588,180.0,top
R23,56.134,-98.6028,0.0,top
R3,73.5,-56.25,180.0,top
R4,74.0,-59.75,180.0,top
R5,58.25,-64.0,270.0,top
R6,73.0,-64.75,90.0,top
R7,76.75,-64.75,90.0,top
R8,89.662,-68.199,0.0,top
R9,73.242,-73.787,0.0,top
SW1,65.350001,-49.0,180.0,top
SW2,91.219,-53.848,90.0,top
SW3,91.204,-62.705,90.0,top
SW4,91.28,-83.518,90.0,top
SW5,67.908,-93.218,180.0,top
U1,83.978949,-43.476,90.0,top
U2,74.319,-46.409,90.0,top
U3,66.487,-62.0,180.0,top
U4,83.693,-72.771,90.0,top
U5,60.75,-74.25,180.0,top
U6,67.945,-82.677,270.0,top
U7,86.106,-90.963,90.0,top
Y1,65.45,-43.75,0.0,top
Y2,72.25,-70.3,90.0,top
